2/5/25,,,,,,,,,
County,Auth #,Organization Name,Center Name,Address,Address 2,City,Zip,Phone,Extension
BREVARD,6369,BRITT CHILDREN'S ACADEMY,BRITT CHILDREN'S ACADEMY,1108 PEACHTREE STREET,,COCOA,329228639,3216384009,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,CAMBRIDGE ELEMENTARY MAGNET,2000 CAMBRIDGE DR,,COCOA,32922,3216333550,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,COQUINA ELEMENTARY,850 KNOX MCRAE DR,,TITUSVILLE,32780,3212643060,
BREVARD,2612,CORAL REEF ACADEMY,CORAL REEF ACADEMY,4945 STACK BLVD,,MELBOURNE,329018502,3217268895,
BREVARD,5232,CORAL REEF ACADEMY,CORAL REEF ACADEMY,1755 WEST NASA BLVD,,MELBOURNE,329012611,3218373330,
BREVARD,4537,CROSS BRIDGE LEARNING CENTER,CROSS BRIDGE LEARNING CENTER,651 BARNES BLVD,,ROCKLEDGE,329555211,3216364603,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,DISCOVERY ELEMENTARY SCHOOL,1275 GLENDALE AVE NW,,PALM BAY,32907,3219514920,
BREVARD,2985,DOORWAY TO LEARNING ENRICHMENT CENTER,DOORWAY TO LEARNING ENRICHMENT,1070 EMERSON DR. N.E.,,PALM BAY,329075542,3217251166,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,ENDEAVOUR ELEMENTARY SCHOOL,905 PINEDA STREET,,COCOA,32922,3216333545,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,ENTERPRISE ELEMENTARY,7000 ENTERPRISE ROAD,,PORT ST. JOHN,32927,3216333434,
BREVARD,6072,EXPLORE AND DISCOVER MELBOURNE INC,EXPLORE AND DISCOVER MELBOURNE INC,3100 AURORA RD,,MELBOURNE,329348135,3212598445,
BREVARD,5596,"EXPLORE AND DISCOVER, INC.","EXPLORE AND DISCOVER, INC.",1680 KNOX MCRAE DRIVE,,TITUSVILLE,327805411,3212693600,
